,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship,shopee_guaranteed,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,years_ex,follower
298,https://shopee.vn/PIN-%C4%90I%E1%BB%86N-THO%E1%BA%A0I-XIAOMI-REDMI-NOTE-4X-(BN43)-PHI%C3%8AN-BA%CC%89N-32GB-i.59259128.1836370490?position=2110,"Yêu Thích
PIN ĐIỆN THOẠI XIAOMI REDMI NOTE 4X (BN43) PHIÊN BẢN 32GB",,,,,,,,,,9,,,110000.00,90,,,,3 Ngày Trả Hàng / Hoàn Tiền,malloca,malloca,False,"19,5k",672,67%,trong vài giờ,4 năm trước,2k
299,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-E52-ch%C3%ADnh-h%C3%A3ng-t%E1%BB%93n-kho-i.28754626.621428798?position=2111,Điện thoại Nokia E52 chính hãng tồn kho,,,,,,,,,,3,,,1200000.00,96,,,,3 Ngày Trả Hàng / Hoàn Tiền,nokiavietnam,nokiavietnam,False,79,99,77%,trong vài giờ,4 năm trước,325
300,https://shopee.vn/-M%C3%A3-ELMS5-gi%E1%BA%A3m-7-%C4%91%C6%A1n-300K-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-N8-C%E1%BA%A3m-%E1%BB%A8ng-B%E1%BB%99-Nh%E1%BB%9B-16G-WiFi-3G-Ch%C3%ADnh-H%C3%A3ng-B%E1%BA%A3o-H%C3%A0nh-6-Th%C3%A1ng-i.276623547.9161522516?position=2112,"Yêu Thích
[Mã ELMS5 giảm 7% đơn 300K] Điện Thoại Nokia N8 Cảm Ứng Bộ Nhớ 16G WiFi 3G Chính Hãng Bảo Hành 6 Tháng",2.00,1,0,0,,,,1,0,1,,,699000.00,2978,,,,3 Ngày Trả Hàng / Hoàn Tiền,khophukien18_official store,phukientot18,False,560,154,90%,trong vài giờ,16 tháng trước,"4,4k"
301,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi-Note-9-Pro-ch%C3%ADnh-h%C3%A3ng-DGW-%C4%91%C3%A3-k%C3%ADch-ho%E1%BA%A1t-%C4%91%E1%BB%A7-h%E1%BB%99p-ph%E1%BB%A5-ki%E1%BB%87n-Snap-720-T%E1%BA%B7ng-b%E1%BA%A3o-h%C3%A0nh-VIP-6-th%C3%A1ng-i.392827317.13914101667?position=2113,"Yêu Thích
Điện thoại Xiaomi Redmi Note 9 Pro chính hãng DGW đã kích hoạt đủ hộp, phụ kiện - Snap 720 - Tặng bảo hành VIP 6 tháng",,,,,,,,,,1,7000000.00,4390000.00,,0,,,,3 Ngày Trả Hàng / Hoàn Tiền,dienthoaihay.vn,dienthoaihay.vn,False,253,50,94%,trong vài phút,8 tháng trước,"4,2k"
302,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-5g-qu%E1%BB%91c-t%E1%BA%BF-gi%C3%A1-r%E1%BA%BB-16gb-32gb-c%C3%B3-ph%E1%BB%A5-ki%E1%BB%87n-fullbox-freeship-i.523582419.13703095695?position=2114,"Điện thoại 5g quốc tế giá rẻ , 16gb , 32gb, có phụ kiện fullbox , freeship",5.00,2,,,,,,,,2,999000.00,399000.00,,1336,,,,3 Ngày Trả Hàng / Hoàn Tiền,TAOVIETSHOP,dienthoaigiarethangloi123,False,24,23,91%,trong vài giờ,45 ngày trước,874
303,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi-6-2sim-ram-3G-32G-m%E1%BB%9Bi-Ch%C3%ADnh-h%C3%A3ng-Ti%E1%BA%BFng-Vi%E1%BB%87t-V%C3%82N-TAY-Chi%E1%BA%BFn-PUBG-Li%C3%AAn-Qu%C3%A2n-i.54951196.13309441479?position=2115,"điện thoại Xiaomi Redmi 6 2sim ram 3G/32G mới Chính hãng, Tiếng Việt, VÂN TAY, Chiến PUBG/Liên Quân",,,,,,,,,,1,1470000.00,1350000.00,,25,,,,3 Ngày Trả Hàng / Hoàn Tiền,CHUYÊN HÀNG ĐỘC,trongnhan510,False,203,119,70%,trong vài giờ,4 năm trước,"2,1k"
304,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-xiaomi-redmi-k30-5g-ch%C3%ADnh-h%C3%A3ng-i.199249933.13113669606?position=2116,"Yêu Thích
Điện thoại xiaomi redmi k30 5g chính hãng",5.00,3,3,0,,,,3,1,6,,,4590000.00,156,,,,3 Ngày Trả Hàng / Hoàn Tiền,mimedia,mimedia,False,6k,179,88%,trong vài giờ,23 tháng trước,"44,5k"
305,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Blackberry-Passport-%C4%91%E1%BA%B9p-i.27121615.13011357624?position=2117,Điện thoại Blackberry Passport đẹp,,,,,,,,,,3,,,1962300.00,2,,,,3 Ngày Trả Hàng / Hoàn Tiền,NhatMinh_Store,nhatminh_store,False,78,195,6%,trong vài giờ,4 năm trước,"5,2k"
306,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Oppo-A15s-(4GB-64GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.455484067.13002096715?position=2118,Điện Thoại Oppo A15s (4GB/64GB) - Hàng Chính Hãng,,,,,,,,,,1,,,3690000.00,10,,,,3 Ngày Trả Hàng / Hoàn Tiền,Trà My - Nhật Anh Mobile,thieunhanmobile2018,False,2,27,54%,trong vài giờ,4 tháng trước,8
307,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-2-sim-Nokia-3310-gi%C3%A1-r%E1%BA%BB-B%E1%BA%A3o-h%C3%A0nh-1-n%C4%83m-i.241365389.12813061481?position=2119,Điện thoại 2 sim Nokia 3310 giá rẻ - Bảo hành 1 năm,,,,,,,,,,2,,,299000.00,53,,,,3 Ngày Trả Hàng / Hoàn Tiền,dien.thoai.2tek.6.h,dienthoaidoc6,False,144,187,30%,trong vài giờ,18 tháng trước,89
308,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Mi-Max-2-2-sim.-Ram-4G-32GB-64GB-l-i.535494687.12712757278?position=2120,Điện thoại Xiaomi Mi Max 2- 2 sim. Ram 4G/32GB/64GB -l,,,,,,,,,,1,2090000.00,1890000.00,,37,,,,3 Ngày Trả Hàng / Hoàn Tiền,Miphonez,miphonez,False,11,15,86%,trong vài giờ,32 ngày trước,15
309,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-BlackBerry-Classic-(-Q20-)-i.6169402.12510665169?position=2121,"Yêu Thích
Điện Thoại BlackBerry Classic ( Q20 )",5.00,1,1,0,,,,1,0,1,,,1666000.00,3,,,,3 Ngày Trả Hàng / Hoàn Tiền,Baoda.vn,laohac_911,False,"1,1k",166,86%,trong vài giờ,5 năm trước,"1,4k"
