,name,price_dis,price_nondis,freeship,rating,rating_count,monthly_sold,store_location,monthly_event,favorite_product,shopee_mall,discount_tag,product_url,image,ShopDacBiet
1812,Ốp Điện Thoại Màu Hồng Kèm Gương Dễ Thương,120.000,₫120.000,False,5.00,1,1/tháng,Hà Nội,False,,False,,https://shopee.vn/%E1%BB%90p-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-M%C3%A0u-H%E1%BB%93ng-K%C3%A8m-G%C6%B0%C6%A1ng-D%E1%BB%85-Th%C6%B0%C6%A1ng-i.89842853.9172126509?position=1972,https://cf.shopee.vn/file/2e914e376a4dfa9ad0bb23fef49fa222_tn,False
1813,Điện thoại Nokia C01 Plus (2GB/16GB) - Hàng chính hãng,1.550.000,₫1.890.000,False,5.00,1,1/tháng,Hà Nội,True,Yêu thích,False,"18%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-C01-Plus-(2GB-16GB)-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.14947974.6193189160?position=1973,https://cf.shopee.vn/file/fd0eac2f455daf5a244626729c49c88e_tn,True
1814,Điện thoại Motorola V3XX fullbox cực hiếm - sản xuất năm 2004,2.300.000,₫2.300.000,False,5.00,1,1/tháng,Hà Nội,True,,False,,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Motorola-V3XX-fullbox-c%E1%BB%B1c-hi%E1%BA%BFm-s%E1%BA%A3n-xu%E1%BA%A5t-n%C4%83m-2004-i.280105437.3592211073?position=1974,https://cf.shopee.vn/file/869c085742bcdeac3b9bfcbf11ec1f26_tn,False
1815,,,,False,4.00,1,,,False,,False,,,,False
1816,,,,False,4.00,1,,,False,,False,,,,False
1817,,,,False,4.00,1,,,False,,False,,,,False
1818,,,,False,4.00,1,,,False,,False,,,,False
1819,,,,False,4.00,1,,,False,,False,,,,False
1820,Camera sau iphone 6s zin bóc máy,60.000,₫60.000,True,5.00,1,,Thanh Hóa,True,,False,,https://shopee.vn/Camera-sau-iphone-6s-zin-b%C3%B3c-m%C3%A1y-i.54746138.9643748562?position=1980,https://cf.shopee.vn/file/43ad6292245a7169c9aa449698cf2019_tn,False
1821,"[ Giá siêu rẻ,chính hãng 100% ] Bàn phím thay thế cho điên thoại Nokia C3-00",15.000,₫15.000,True,4.50,2,1/tháng,Hà Nội,True,Yêu thích,False,,https://shopee.vn/-Gi%C3%A1-si%C3%AAu-r%E1%BA%BB-ch%C3%ADnh-h%C3%A3ng-100-B%C3%A0n-ph%C3%ADm-thay-th%E1%BA%BF-cho-%C4%91i%C3%AAn-tho%E1%BA%A1i-Nokia-C3-00-i.228219692.7352182279?position=1981,https://cf.shopee.vn/file/7dd0ad877befa4f5fad88240715c8272_tn,True
